,Дата,Цена,Откр.,Макс.,Мин.,Объём,Изм. %
0,16.04.2021,"2.262,67","2.258,29","2.273,15","2.251,73",-,"0,25%"
1,15.04.2021,"2.257,07","2.249,42","2.264,16","2.240,75",-,"0,42%"
2,14.04.2021,"2.247,72","2.230,16","2.272,85","2.230,16",-,"0,84%"
3,13.04.2021,"2.228,92","2.233,99","2.237,38","2.208,20",-,"-0,22%"
4,12.04.2021,"2.233,78","2.244,33","2.244,33","2.222,21",-,"-0,43%"
5,09.04.2021,"2.243,47","2.241,97","2.245,99","2.231,03",-,"0,04%"
6,08.04.2021,"2.242,60","2.225,19","2.243,00","2.213,84",-,"0,88%"
7,07.04.2021,"2.223,05","2.259,15","2.259,15","2.217,78",-,"-1,60%"
8,06.04.2021,"2.259,15","2.264,74","2.280,37","2.257,55",-,"-0,25%"
9,05.04.2021,"2.264,89","2.280,80","2.280,83","2.253,94",-,"0,49%"
10,01.04.2021,"2.253,90","2.225,29","2.253,90","2.225,29",-,"1,50%"
11,31.03.2021,"2.220,52","2.200,03","2.237,68","2.200,03",-,"1,13%"
12,30.03.2021,"2.195,80","2.158,59","2.202,62","2.151,55",-,"1,72%"
13,29.03.2021,"2.158,68","2.219,31","2.223,19","2.158,44",-,"-2,83%"
14,26.03.2021,"2.221,48","2.190,88","2.222,19","2.177,90",-,"1,76%"
15,25.03.2021,"2.183,12","2.133,15","2.190,89","2.100,27",-,"2,29%"
16,24.03.2021,"2.134,27","2.192,95","2.221,98","2.134,12",-,"-2,35%"
17,23.03.2021,"2.185,69","2.264,14","2.264,14","2.175,78",-,"-3,58%"
18,22.03.2021,"2.266,84","2.287,93","2.294,04","2.258,70",-,"-0,91%"
19,19.03.2021,"2.287,55","2.267,65","2.298,04","2.247,57",-,"0,88%"
20,18.03.2021,"2.267,59","2.335,83","2.340,55","2.262,07",-,"-2,94%"
21,17.03.2021,"2.336,39","2.315,14","2.339,28","2.289,84",-,"0,73%"
22,16.03.2021,"2.319,52","2.360,13","2.360,13","2.304,97",-,"-1,72%"
23,15.03.2021,"2.360,17","2.352,79","2.360,17","2.337,13",-,"0,31%"
24,12.03.2021,"2.352,79","2.337,23","2.354,20","2.325,65",-,"0,61%"
25,11.03.2021,"2.338,54","2.287,94","2.338,55","2.287,94",-,"2,31%"
26,10.03.2021,"2.285,68","2.246,96","2.299,46","2.246,96",-,"1,81%"
27,09.03.2021,"2.245,06","2.204,80","2.261,64","2.204,80",-,"1,91%"
28,08.03.2021,"2.202,98","2.192,65","2.233,34","2.192,48",-,"0,49%"
29,05.03.2021,"2.192,21","2.149,43","2.193,27","2.085,12",-,"2,11%"
30,04.03.2021,"2.146,92","2.207,74","2.217,05","2.110,14",-,"-2,76%"
31,03.03.2021,"2.207,79","2.232,50","2.252,56","2.207,62",-,"-1,06%"
32,02.03.2021,"2.231,51","2.275,12","2.275,12","2.231,11",-,"-1,93%"
33,01.03.2021,"2.275,32","2.203,03","2.279,54","2.203,03",-,"3,37%"
34,26.02.2021,"2.201,05","2.201,30","2.232,29","2.165,86",-,"0,04%"
35,25.02.2021,"2.200,17","2.283,85","2.289,07","2.196,52",-,"-3,69%"
36,24.02.2021,"2.284,38","2.232,41","2.286,49","2.232,41",-,"2,38%"
37,23.02.2021,"2.231,31","2.248,42","2.248,42","2.169,08",-,"-0,88%"
38,22.02.2021,"2.251,07","2.265,87","2.276,33","2.247,70",-,"-0,69%"
39,19.02.2021,"2.266,69","2.218,82","2.275,87","2.218,82",-,"2,18%"
40,18.02.2021,"2.218,39","2.253,02","2.253,02","2.208,49",-,"-1,67%"
41,17.02.2021,"2.256,11","2.271,96","2.271,96","2.226,98",-,"-0,74%"
42,16.02.2021,"2.272,89","2.290,57","2.310,09","2.266,27",-,"-1,46%"
43,15.02.2021,"2.306,60","2.307,85","2.311,75","2.306,00",-,"0,75%"
44,12.02.2021,"2.289,36","2.284,66","2.293,73","2.264,38",-,"0,18%"
45,11.02.2021,"2.285,32","2.283,27","2.303,63","2.255,57",-,"0,13%"
46,10.02.2021,"2.282,44","2.300,68","2.318,09","2.266,66",-,"-0,72%"
47,09.02.2021,"2.299,00","2.289,65","2.309,43","2.281,93",-,"0,40%"
48,08.02.2021,"2.289,76","2.234,35","2.289,76","2.234,35",-,"2,53%"
49,05.02.2021,"2.233,33","2.202,94","2.233,33","2.202,94",-,"1,40%"
50,04.02.2021,"2.202,42","2.160,77","2.202,42","2.160,77",-,"1,98%"
51,03.02.2021,"2.159,70","2.151,46","2.163,36","2.135,78",-,"0,38%"
52,02.02.2021,"2.151,44","2.127,31","2.154,54","2.126,45",-,"1,19%"
53,01.02.2021,"2.126,16","2.075,01","2.130,69","2.075,01",-,"2,53%"
54,29.01.2021,"2.073,64","2.106,78","2.124,62","2.066,59",-,"-1,56%"
55,28.01.2021,"2.106,61","2.111,29","2.138,20","2.094,78",-,"-0,10%"
56,27.01.2021,"2.108,70","2.146,66","2.146,66","2.088,01",-,"-1,91%"
57,26.01.2021,"2.149,86","2.165,46","2.183,01","2.146,34",-,"-0,62%"
58,25.01.2021,"2.163,27","2.168,72","2.194,86","2.135,22",-,"-0,25%"
59,22.01.2021,"2.168,76","2.140,48","2.168,80","2.118,77",-,"1,28%"
60,21.01.2021,"2.141,42","2.161,30","2.167,03","2.138,03",-,"-0,89%"
61,20.01.2021,"2.160,62","2.152,30","2.173,73","2.149,99",-,"0,44%"
