"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"15.05.2020","4,71","4,94","5,15","4,60","-","-5,42%"
"14.05.2020","4,98","5,07","5,25","4,91","-","-0,40%"
"13.05.2020","5,00","5,17","5,37","4,90","-","-6,54%"
"12.05.2020","5,35","5,22","5,36","5,05","-","1,52%"
"11.05.2020","5,27","5,29","5,34","5,11","-","2,33%"
"08.05.2020","5,15","5,27","5,30","4,94","-","-0,19%"
"07.05.2020","5,16","4,74","5,28","4,67","-","5,09%"
"06.05.2020","4,91","4,86","5,03","4,71","-","4,03%"
"05.05.2020","4,72","4,74","4,82","4,65","-","0,64%"
"04.05.2020","4,69","4,87","4,88","4,55","-","-1,05%"
"01.05.2020","4,74","5,12","5,13","4,60","-","-4,05%"
"30.04.2020","4,94","5,12","5,18","4,81","-","-5,73%"
"29.04.2020","5,24","5,24","5,40","5,14","-","-4,03%"
"28.04.2020","5,46","5,38","5,53","5,28","-","-0,55%"
"27.04.2020","5,49","5,73","5,73","5,42","-","-5,18%"
"24.04.2020","5,79","6,16","6,17","5,78","-","-9,11%"
"23.04.2020","6,37","6,54","6,55","6,06","-","-4,64%"
"22.04.2020","6,68","6,92","6,94","6,57","-","-6,96%"
"21.04.2020","7,18","7,44","7,54","7,13","-","1,70%"
"20.04.2020","7,06","6,93","7,14","6,47","-","-0,28%"
"17.04.2020","7,08","6,66","7,30","6,52","-","10,28%"
"16.04.2020","6,42","6,70","6,72","6,32","-","-4,18%"
"15.04.2020","6,70","6,18","6,82","6,09","-","9,84%"
"14.04.2020","6,10","6,52","6,81","6,09","-","-10,56%"
"13.04.2020","6,82","6,80","6,82","6,54","-","3,49%"
"09.04.2020","6,59","6,61","6,81","6,38","-","-2,23%"
"08.04.2020","6,74","6,96","7,15","6,54","-","-3,85%"
"07.04.2020","7,01","5,93","7,06","5,89","-","12,52%"
"06.04.2020","6,23","5,78","6,23","5,70","-","2,81%"
"03.04.2020","6,06","6,55","6,55","5,82","-","-8,18%"
"02.04.2020","6,60","7,51","11,00","6,60","-","-14,62%"
"01.04.2020","7,73","8,50","8,74","7,13","-","-7,43%"
"31.03.2020","8,35","9,15","9,50","8,27","-","-12,38%"
"30.03.2020","9,53","8,87","9,72","8,82","-","15,24%"
"27.03.2020","8,27","10,05","10,36","7,95","-","-13,40%"
"26.03.2020","9,55","8,72","9,70","8,32","-","17,18%"
"25.03.2020","8,15","8,30","8,34","7,76","-","-14,21%"
"24.03.2020","9,50","12,42","12,56","9,26","-","-27,81%"
